Configuration,Runtime(in secs),Time Interval(secs)
MPI_Allgather(across_1024000):,0.159434,0
MPI_Allgather(across_1024000):,0.120323,271
MPI_Allgather(across_1024000):,0.092130,490
MPI_Allgather(across_1024000):,0.091350,708
MPI_Allgather(across_1024000):,0.093064,926
MPI_Allgather(across_1024000):,0.091770,1141
MPI_Allgather(across_1024000):,0.090583,1353
MPI_Allgather(across_1024000):,0.092667,1569
MPI_Allgather(across_1024000):,0.094951,1791
MPI_Allgather(across_1024000):,0.098824,2020
MPI_Allgather(across_1024000):,0.161921,2377
MPI_Allgather(across_1024000):,0.098939,2605
MPI_Allgather(across_1024000):,0.094139,2824
MPI_Allgather(across_1024000):,0.092276,3038
MPI_Allgather(across_1024000):,0.080945,3231
MPI_Allgather(across_1024000):,0.101242,3464
MPI_Allgather(across_1024000):,0.094454,3683
MPI_Allgather(across_1024000):,0.094782,3902
MPI_Allgather(across_1024000):,0.092705,4118
MPI_Allgather(across_1024000):,0.113770,4375
MPI_Allgather(across_1024000):,0.163692,4733
MPI_Allgather(across_1024000):,0.092061,4948
MPI_Allgather(across_1024000):,0.090080,5158
MPI_Allgather(across_1024000):,0.091155,5371
MPI_Allgather(across_1024000):,0.089418,5580
MPI_Allgather(across_1024000):,0.091288,5793
MPI_Allgather(across_1024000):,0.091260,6006
MPI_Allgather(across_1024000):,0.088441,6212
MPI_Allgather(across_1024000):,0.089573,6422
MPI_Allgather(across_1024000):,0.101894,6657
MPI_Allgather(across_1024000):,0.160909,7009
MPI_Allgather(across_1024000):,0.092850,7223
MPI_Allgather(across_1024000):,0.088760,7430
MPI_Allgather(across_1024000):,0.087394,7637
MPI_Allgather(across_1024000):,0.089369,7846
MPI_Allgather(across_1024000):,0.086977,8051
MPI_Allgather(across_1024000):,0.088686,8261
MPI_Allgather(across_1024000):,0.090946,8474
MPI_Allgather(across_1024000):,0.090757,8686
MPI_Allgather(across_1024000):,0.099889,8916
MPI_Allgather(across_1024000):,0.164502,9274
MPI_Allgather(across_1024000):,0.090224,9484
MPI_Allgather(across_1024000):,0.090670,9698
MPI_Allgather(across_1024000):,0.086706,9901
MPI_Allgather(across_1024000):,0.090434,10113
MPI_Allgather(across_1024000):,0.080617,10304
MPI_Allgather(across_1024000):,0.083710,10503
MPI_Allgather(across_1024000):,0.089488,10712
MPI_Allgather(across_1024000):,0.088514,10920
MPI_Allgather(across_1024000):,0.089351,11130
MPI_Allgather(across_1024000):,0.160316,11479
MPI_Allgather(across_1024000):,0.112677,11734
MPI_Allgather(across_1024000):,0.088821,11942
MPI_Allgather(across_1024000):,0.089455,12153
MPI_Allgather(across_1024000):,0.089290,12363
MPI_Allgather(across_1024000):,0.091568,12576
MPI_Allgather(across_1024000):,0.091929,12790
MPI_Allgather(across_1024000):,0.088857,12999
MPI_Allgather(across_1024000):,0.091020,13211
MPI_Allgather(across_1024000):,0.089616,13421
MPI_Allgather(across_1024000):,0.171038,13793
MPI_Allgather(across_1024000):,0.103188,14030
MPI_Allgather(across_1024000):,0.080362,14221
MPI_Allgather(across_1024000):,0.091131,14434
MPI_Allgather(across_1024000):,0.092628,14650
MPI_Allgather(across_1024000):,0.090409,14861
MPI_Allgather(across_1024000):,0.089511,15071
MPI_Allgather(across_1024000):,0.089102,15280
MPI_Allgather(across_1024000):,0.089608,15489
MPI_Allgather(across_1024000):,0.089382,15698
MPI_Allgather(across_1024000):,0.159906,16048
MPI_Allgather(across_1024000):,0.118790,16318
MPI_Allgather(across_1024000):,0.089275,16526
MPI_Allgather(across_1024000):,0.091070,16740
MPI_Allgather(across_1024000):,0.109007,16988
MPI_Allgather(across_1024000):,0.103131,17224
MPI_Allgather(across_1024000):,0.105094,17464
MPI_Allgather(across_1024000):,0.105561,17704
MPI_Allgather(across_1024000):,0.112953,17960
MPI_Allgather(across_1024000):,0.151825,18294
MPI_Allgather(across_1024000):,0.145549,18615
MPI_Allgather(across_1024000):,0.102293,18849
MPI_Allgather(across_1024000):,0.092443,19064
MPI_Allgather(across_1024000):,0.104964,19303
MPI_Allgather(across_1024000):,0.102092,19537
MPI_Allgather(across_1024000):,0.088028,19744
MPI_Allgather(across_1024000):,0.101644,19978
MPI_Allgather(across_1024000):,0.088368,20429
MPI_Allgather(across_1024000):,0.106291,20969
MPI_Allgather(across_1024000):,0.096797,21484
MPI_Allgather(across_1024000):,0.097811,22020
MPI_Allgather(across_1024000):,0.092481,22489
MPI_Allgather(across_1024000):,0.134799,23074
MPI_Allgather(across_1024000):,0.090980,23560
MPI_Allgather(across_1024000):,0.090437,24026
MPI_Allgather(across_1024000):,0.091721,24488
MPI_Allgather(across_1024000):,0.082736,24939
MPI_Allgather(across_1024000):,0.140229,25514
MPI_Allgather(across_1024000):,0.091179,25907
MPI_Allgather(across_1024000):,0.087210,26308
MPI_Allgather(across_1024000):,0.090549,26692
MPI_Allgather(across_1024000):,0.089509,27089
MPI_Allgather(across_1024000):,0.090806,27489
MPI_Allgather(across_1024000):,0.163997,28028
MPI_Allgather(across_1024000):,0.080762,28428
MPI_Allgather(across_1024000):,0.092627,28825
MPI_Allgather(across_1024000):,0.090916,29238
MPI_Allgather(across_1024000):,0.091489,29648
MPI_Allgather(across_1024000):,0.093898,30087
MPI_Allgather(across_1024000):,0.100647,30586
MPI_Allgather(across_1024000):,0.089719,30977
MPI_Allgather(across_1024000):,0.091767,31411
MPI_Allgather(across_1024000):,0.091546,31808
MPI_Allgather(across_1024000):,0.099168,32217
MPI_Allgather(across_1024000):,0.169084,32823
MPI_Allgather(across_1024000):,0.090998,33276
MPI_Allgather(across_1024000):,0.089825,33731
MPI_Allgather(across_1024000):,0.092418,34172
MPI_Allgather(across_1024000):,0.099318,34609
MPI_Allgather(across_1024000):,0.123318,35082
MPI_Allgather(across_1024000):,0.125035,35474
MPI_Allgather(across_1024000):,0.082906,35793
MPI_Allgather(across_1024000):,0.086559,36115
MPI_Allgather(across_1024000):,0.096954,36480
MPI_Allgather(across_1024000):,0.101920,36854
MPI_Allgather(across_1024000):,0.089973,37209
MPI_Allgather(across_1024000):,0.163680,37730
MPI_Allgather(across_1024000):,0.090372,38129
MPI_Allgather(across_1024000):,0.099378,38556
MPI_Allgather(across_1024000):,0.089546,38956
MPI_Allgather(across_1024000):,0.094325,39360
MPI_Allgather(across_1024000):,0.091145,39767
MPI_Allgather(across_1024000):,0.108115,40218
MPI_Allgather(across_1024000):,0.094228,40637
MPI_Allgather(across_1024000):,0.089401,41032
MPI_Allgather(across_1024000):,0.091895,41436
MPI_Allgather(across_1024000):,0.089171,41872
MPI_Allgather(across_1024000):,0.164699,42464
MPI_Allgather(across_1024000):,0.090069,42917
MPI_Allgather(across_1024000):,0.092582,43336
MPI_Allgather(across_1024000):,0.090685,43793
MPI_Allgather(across_1024000):,0.090763,44261
MPI_Allgather(across_1024000):,0.141173,44840
MPI_Allgather(across_1024000):,0.090641,45308
MPI_Allgather(across_1024000):,0.099046,45793
MPI_Allgather(across_1024000):,0.109208,46297
MPI_Allgather(across_1024000):,0.094675,46785
MPI_Allgather(across_1024000):,0.168457,47416
MPI_Allgather(across_1024000):,0.092207,47885
MPI_Allgather(across_1024000):,0.115334,48427
MPI_Allgather(across_1024000):,0.098512,48918
MPI_Allgather(across_1024000):,0.092789,49451
MPI_Allgather(across_1024000):,0.146529,50045
MPI_Allgather(across_1024000):,0.088085,50547
MPI_Allgather(across_1024000):,0.093188,51059
MPI_Allgather(across_1024000):,0.093422,51580
MPI_Allgather(across_1024000):,0.091031,52088
MPI_Allgather(across_1024000):,0.091929,52608
MPI_Allgather(across_1024000):,0.112203,53157
MPI_Allgather(across_1024000):,0.092278,53677
MPI_Allgather(across_1024000):,0.091479,54169
MPI_Allgather(across_1024000):,0.162437,54843
MPI_Allgather(across_1024000):,0.095050,55365
MPI_Allgather(across_1024000):,0.092028,55859
MPI_Allgather(across_1024000):,0.090463,56366
MPI_Allgather(across_1024000):,0.091364,56888
MPI_Allgather(across_1024000):,0.150425,57508
MPI_Allgather(across_1024000):,0.088972,58009
MPI_Allgather(across_1024000):,0.090248,58522
MPI_Allgather(across_1024000):,0.091657,59043
MPI_Allgather(across_1024000):,0.089356,59600
MPI_Allgather(across_1024000):,0.090993,60128
MPI_Allgather(across_1024000):,0.092909,60695
MPI_Allgather(across_1024000):,0.083867,61225
MPI_Allgather(across_1024000):,0.107265,61818
MPI_Allgather(across_1024000):,0.091386,62392
MPI_Allgather(across_1024000):,0.088319,62919
MPI_Allgather(across_1024000):,0.089127,63433
MPI_Allgather(across_1024000):,0.089192,63987
MPI_Allgather(across_1024000):,0.085151,64186
MPI_Allgather(across_1024000):,0.090705,64397
MPI_Allgather(across_1024000):,0.089271,64606
MPI_Allgather(across_1024000):,0.115495,64865
MPI_Allgather(across_1024000):,0.150167,65194
MPI_Allgather(across_1024000):,0.098695,65421
MPI_Allgather(across_1024000):,0.101999,65657
MPI_Allgather(across_1024000):,0.100302,65887
MPI_Allgather(across_1024000):,0.091721,66102
MPI_Allgather(across_1024000):,0.097088,66326
MPI_Allgather(across_1024000):,0.096795,66552
MPI_Allgather(across_1024000):,0.091590,66766
MPI_Allgather(across_1024000):,0.089155,66975
MPI_Allgather(across_1024000):,0.101024,67208
MPI_Allgather(across_1024000):,0.090211,67419
MPI_Allgather(across_1024000):,0.089877,67631
MPI_Allgather(across_1024000):,0.080242,67822
MPI_Allgather(across_1024000):,0.083964,68021
MPI_Allgather(across_1024000):,0.091170,68235
MPI_Allgather(across_1024000):,0.087394,68442
MPI_Allgather(across_1024000):,0.090838,68654
MPI_Allgather(across_1024000):,0.089568,68864
MPI_Allgather(across_1024000):,0.097791,69091
MPI_Allgather(across_1024000):,0.090049,69302
MPI_Allgather(across_1024000):,0.090671,69515
MPI_Allgather(across_1024000):,0.089705,69725
MPI_Allgather(across_1024000):,0.087833,69932
MPI_Allgather(across_1024000):,0.091036,70145
MPI_Allgather(across_1024000):,0.091875,70361
MPI_Allgather(across_1024000):,0.092803,70578
MPI_Allgather(across_1024000):,0.098716,70806
MPI_Allgather(across_1024000):,0.089581,71015
MPI_Allgather(across_1024000):,0.090609,71228
MPI_Allgather(across_1024000):,0.093627,71446
MPI_Allgather(across_1024000):,0.088315,71654
MPI_Allgather(across_1024000):,0.093390,71871
MPI_Allgather(across_1024000):,0.090124,72083
MPI_Allgather(across_1024000):,0.090820,72296
MPI_Allgather(across_1024000):,0.091944,72510
MPI_Allgather(across_1024000):,0.101243,72745
MPI_Allgather(across_1024000):,0.093643,72963
MPI_Allgather(across_1024000):,0.091647,73178
MPI_Allgather(across_1024000):,0.093029,73395
MPI_Allgather(across_1024000):,0.089467,73605
MPI_Allgather(across_1024000):,0.088885,73814
MPI_Allgather(across_1024000):,0.092034,74029
MPI_Allgather(across_1024000):,0.096693,74253
MPI_Allgather(across_1024000):,0.104541,74493
MPI_Allgather(across_1024000):,0.099015,74722
MPI_Allgather(across_1024000):,0.095163,74944
MPI_Allgather(across_1024000):,0.095499,75165
MPI_Allgather(across_1024000):,0.100345,75398
MPI_Allgather(across_1024000):,0.095010,75619
MPI_Allgather(across_1024000):,0.099065,75848
MPI_Allgather(across_1024000):,0.091702,76081
MPI_Allgather(across_1024000):,0.093160,76299
MPI_Allgather(across_1024000):,0.097873,76526
MPI_Allgather(across_1024000):,0.089512,76738
MPI_Allgather(across_1024000):,0.095666,76962
MPI_Allgather(across_1024000):,0.105658,77205
MPI_Allgather(across_1024000):,0.105451,77449
MPI_Allgather(across_1024000):,0.102570,77684
MPI_Allgather(across_1024000):,0.092255,77899
MPI_Allgather(across_1024000):,0.091488,78114
MPI_Allgather(across_1024000):,0.101872,78348
MPI_Allgather(across_1024000):,0.092069,78562
MPI_Allgather(across_1024000):,0.094445,78782
MPI_Allgather(across_1024000):,0.107024,79027
MPI_Allgather(across_1024000):,0.097834,79254
MPI_Allgather(across_1024000):,0.094749,79474
MPI_Allgather(across_1024000):,0.094953,79695
MPI_Allgather(across_1024000):,0.095610,79916
MPI_Allgather(across_1024000):,0.095169,80137
MPI_Allgather(across_1024000):,0.098587,80366
MPI_Allgather(across_1024000):,0.105340,80607
MPI_Allgather(across_1024000):,0.091862,80823
MPI_Allgather(across_1024000):,0.091025,81036
MPI_Allgather(across_1024000):,0.098208,81264
MPI_Allgather(across_1024000):,0.098738,81492
MPI_Allgather(across_1024000):,0.094752,81730
MPI_Allgather(across_1024000):,0.098182,81957
MPI_Allgather(across_1024000):,0.090194,82169
MPI_Allgather(across_1024000):,0.100251,82552
MPI_Allgather(across_1024000):,0.088615,82760
MPI_Allgather(across_1024000):,0.090752,82974
MPI_Allgather(across_1024000):,0.095658,83201
MPI_Allgather(across_1024000):,0.089529,83410
MPI_Allgather(across_1024000):,0.097455,83636
MPI_Allgather(across_1024000):,0.093912,83855
MPI_Allgather(across_1024000):,0.089245,84067
MPI_Allgather(across_1024000):,0.095967,84291
MPI_Allgather(across_1024000):,0.090501,84502
