Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_wait rhvd_wait rd_wait bin_wait cmc_wait def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_wait_rhvd improv_wait_rd improv_wait_bin improv_wait_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc def_turn rhvd_turn rd_turn bin_turn cmc_turn improv_turn_rhvd improv_turn_rd improv_turn_bin improv_turn_cmc
1 0.0 7560.0 512.0 1.0 50.0 7560.0 7560.0 7560.0 7560.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 0.0 0.0 0.0 10.0 10.0 1075.2 1075.2 1075.2 1075.2 1075.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7560.0 7560.0 7560.0 7570.0 7570.0 0.0 0.0 -0.13227513227513227 -0.13227513227513227
2 7.0 7568.0 512.0 1.0 70.0 7568.0 7568.0 7568.0 7568.0 450.44714400000004 24.827793 24.827793 24.827792999999996 450.44714400000004 24.827793 24.827793 24.827792999999996 10.0 0.0 0.0 0.0 10.0 1076.3377777777778 1076.3377777777778 1076.3377777777778 1076.3377777777778 1076.3377777777778 0.0 0.0 0.0 0.0 100.0 100.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7578.0 7568.0 7568.0 7568.0 7578.0 0.13196093956188967 0.13196093956188967 0.13196093956188967 0.0
3 1590.0 7561.0 512.0 1.0 70.0 7561.0 7561.0 7561.0 7561.0 351.927704 19.397589 19.397589 19.397588999999996 351.927704 19.397589 19.397589 19.397588999999996 220.0 210.0 200.0 210.0 260.0 1075.3422222222223 1075.3422222222223 1075.3422222222223 1075.3422222222223 1075.3422222222223 0.0 0.0 0.0 0.0 4.545454545454546 9.090909090909092 4.545454545454546 -18.181818181818183 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7781.0 7771.0 7761.0 7771.0 7821.0 0.12851818532322323 0.25703637064644647 0.12851818532322323 -0.5140727412928929
4 2205.0 14972.0 2048.0 1.0 30.0 11683.0 12093.0 13557.0 13118.0 6387.830078 103.982567 54.498047 69.343403 1710.666748 37.333335999999996 37.333335999999996 37.33333599999999 210.0 200.0 190.0 200.0 250.0 8517.404444444444 6646.328888888889 6879.573333333334 7712.426666666666 7462.684444444444 21.96767298958055 19.22922789206519 9.45097515362009 12.383115148276783 4.761904761904762 9.523809523809524 4.761904761904762 -19.047619047619047 73.21990837089389 64.09654322151906 31.496011224035247 46.16166154983771 21.967672989580546 19.229227892065182 9.450975153620094 12.383115148276786 15182.0 11883.0 12283.0 13757.0 13368.0 21.729679884073246 19.094980898432354 9.386115136345673 11.948359899881439
5 2566.0 7571.0 512.0 1.0 30.0 8584.0 8584.0 8584.0 8584.0 351.34130899999997 19.365269 19.365269 19.365269 508.0 28.0 28.0 28.0 130.0 130.0 50.0 140.0 190.0 1076.7644444444445 1220.8355555555556 1220.8355555555556 1220.8355555555556 1220.8355555555556 -13.380002641658962 -13.380002641658962 -13.380002641658962 -13.380002641658962 0.0 61.53846153846154 -7.6923076923076925 -46.15384615384615 -44.58874803133384 -44.588748031333814 -44.588748031333814 -44.588748031333814 -13.380002641658963 -13.380002641658963 -13.380002641658963 -13.380002641658963 7701.0 8714.0 8634.0 8724.0 8774.0 -13.154135826516036 -12.115309700038956 -13.283989092325672 -13.933255421373847
6 2751.0 3653.0 64.0 0.0 10.0 3669.0 3669.0 3669.0 3669.0 50.990990000000004 13.597597 13.597597 13.597597 53.202415 14.187311 14.187311 14.187311 260.0 250.0 240.0 250.0 0.0 64.94222222222223 65.22666666666667 65.22666666666667 65.22666666666667 65.22666666666667 -0.4379961675335341 -0.4379961675335341 -0.4379961675335341 -0.4379961675335341 3.8461538461538463 7.6923076923076925 3.8461538461538463 100.0 -4.336893635522665 -4.336898644664928 -4.336898644664928 -4.336898644664928 -0.4379961675335369 -0.4379961675335369 -0.4379961675335369 -0.4379961675335369 3913.0 3919.0 3909.0 3919.0 3669.0 -0.1533350370559673 0.10222335803731153 -0.1533350370559673 6.235624840276003
7 5485.0 6147.0 16384.0 1.0 50.0 3835.0 4395.0 5333.0 5052.0 57330.0 167.76004 97.759834 118.7598958 14195.611328 72.149765 71.862122 71.9484149 210.0 210.0 130.0 220.0 270.0 27975.68 17453.51111111111 20002.133333333335 24271.075555555555 22992.213333333333 37.61184317553278 28.501708150317228 13.242231983081178 17.813567593948267 0.0 38.095238095238095 -4.761904761904762 -28.571428571428573 75.23877319379034 56.9922819522456 26.491157912563555 39.41690971069376 37.61184317553278 28.50170815031722 13.24223198308118 17.81356759394827 6357.0 4045.0 4525.0 5553.0 5322.0 36.36935661475539 28.818625137643544 12.64747522416234 16.281264747522417
8 6553.0 2733.0 64.0 0.0 10.0 2729.0 2729.0 2729.0 2729.0 53.932587 14.382023 14.382023 14.382023 53.202415 14.187311 14.187311 14.187311 60.0 50.0 40.0 50.0 100.0 48.586666666666666 48.51555555555556 48.51555555555556 48.51555555555556 48.51555555555556 0.14635931211123307 0.14635931211123307 0.14635931211123307 0.14635931211123307 16.666666666666668 33.333333333333336 16.666666666666668 -66.66666666666667 1.3538605147941374 1.3538568252880758 1.3538568252880758 1.3538568252880758 0.1463593121112267 0.1463593121112267 0.1463593121112267 0.1463593121112267 2793.0 2779.0 2769.0 2779.0 2829.0 0.5012531328320802 0.8592910848549946 0.5012531328320802 -1.288936627282492
9 10355.0 565.0 64.0 0.0 10.0 558.0 558.0 558.0 558.0 58.558558999999995 15.615616000000001 15.615616000000001 15.615616 51.573036 13.75281 13.75281 13.752809999999998 140.0 140.0 60.0 150.0 200.0 10.044444444444444 9.92 9.92 9.92 9.92 1.238938053097345 1.238938053097345 1.238938053097345 1.238938053097345 0.0 57.142857142857146 -7.142857142857143 -42.857142857142854 11.929123802380442 11.929122744821598 11.929122744821598 11.9291227448216 1.2389380530973444 1.2389380530973444 1.2389380530973444 1.2389380530973444 705.0 698.0 618.0 708.0 758.0 0.9929078014184397 12.340425531914894 -0.425531914893617 -7.5177304964539005
10 14158.0 911.0 64.0 0.0 10.0 909.0 909.0 909.0 909.0 50.990990000000004 13.597597 13.597597 13.597597 50.0 13.333333999999999 13.333333999999999 13.333333999999997 260.0 250.0 250.0 250.0 0.0 16.195555555555554 16.16 16.16 16.16 16.16 0.21953896816684962 0.21953896816684962 0.21953896816684962 0.21953896816684962 3.8461538461538463 3.8461538461538463 3.8461538461538463 100.0 1.9434609918340544 1.9434536852357183 1.9434536852357183 1.9434536852357314 0.21953896816684007 0.21953896816684007 0.21953896816684007 0.21953896816684007 1171.0 1159.0 1159.0 1159.0 909.0 1.0247651579846284 1.0247651579846284 1.0247651579846284 22.374039282664388
