Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_wait rhvd_wait rd_wait bin_wait cmc_wait def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_wait_rhvd improv_wait_rd improv_wait_bin improv_wait_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc def_turn rhvd_turn rd_turn bin_turn cmc_turn improv_turn_rhvd improv_turn_rd improv_turn_bin improv_turn_cmc
1724830 1546326862.0 3649.0 512.0 1.0 50.0 3649.0 3649.0 3649.0 3649.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 10.0 0.0 0.0 0.0 10.0 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 518.9688888888888 0.0 0.0 0.0 0.0 100.0 100.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3659.0 3649.0 3649.0 3649.0 3659.0 0.2732987154960372 0.2732987154960372 0.2732987154960372 0.0
1724831 1546326906.0 3643.0 512.0 0.0 10.0 3643.0 3643.0 3643.0 3643.0 352.22357200000005 19.413898 19.413898 19.413898 352.22357200000005 19.413898 19.413898 19.413898 0.0 0.0 0.0 20.0 0.0 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 518.1155555555556 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3643.0 3643.0 3643.0 3663.0 3643.0 0.0 0.0 -0.5489980785067252 0.0
1724837 1546328222.0 4935.0 512.0 1.0 70.0 4935.0 4935.0 4935.0 4935.0 351.927704 19.397589 19.397589 19.397588999999996 351.927704 19.397589 19.397589 19.397588999999996 150.0 70.0 140.0 60.0 140.0 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 701.8666666666667 0.0 0.0 0.0 0.0 53.333333333333336 6.666666666666667 60.0 6.666666666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5085.0 5005.0 5075.0 4995.0 5075.0 1.5732546705998034 0.19665683382497542 1.7699115044247788 0.19665683382497542
1724838 1546328338.0 2317.0 2048.0 1.0 70.0 1288.0 1526.0 1919.0 1801.0 5644.297852000001 96.25308199999999 52.99609399999999 65.9731904 2064.0 49.333335999999996 40.0 42.8000008 40.0 30.0 30.0 30.0 30.0 1318.1155555555556 732.7288888888888 868.1244444444444 1091.6977777777777 1024.568888888889 44.41087613293051 34.13897280966767 17.177384548985756 22.270176952956408 25.0 25.0 25.0 25.0 63.43212115801716 48.74622715977032 24.522739355092835 35.1251613867684 44.41087613293052 34.13897280966768 17.177384548985767 22.270176952956408 2357.0 1318.0 1556.0 1949.0 1831.0 44.08145948239287 33.98387781077641 17.310140008485362 22.316504030547307
1724842 1546328619.0 2499.0 1024.0 1.0 50.0 2664.0 2664.0 2664.0 2664.0 900.898193 28.263474 28.263474 28.263473999999995 1020.0 32.0 32.0 32.0 50.0 50.0 50.0 50.0 60.0 710.8266666666667 757.76 757.76 757.76 757.76 -6.602641056422569 -6.602641056422569 -6.602641056422569 -6.602641056422569 0.0 0.0 0.0 -20.0 -13.220340314302307 -13.220335193048106 -13.220335193048106 -13.22033519304812 -6.602641056422562 -6.602641056422562 -6.602641056422562 -6.602641056422562 2549.0 2714.0 2714.0 2714.0 2724.0 -6.473126716359356 -6.473126716359356 -6.473126716359356 -6.8654374264417415
1724849 1546331076.0 3673.0 512.0 1.0 70.0 4005.0 4005.0 4005.0 4005.0 449.855408 24.795177 24.795177 24.795177 508.0 28.0 28.0 28.0 0.0 220.0 260.0 220.0 0.0 522.3822222222223 569.6 569.6 569.6 569.6 -9.038932752518377 -9.038932752518377 -9.038932752518377 -9.038932752518377 0.0 0.0 0.0 0.0 -12.925173503749452 -12.925187023266668 -12.925187023266668 -12.925187023266668 -9.038932752518376 -9.038932752518376 -9.038932752518376 -9.038932752518376 3673.0 4225.0 4265.0 4225.0 4005.0 -15.028586986114892 -16.117615028586986 -15.028586986114892 -9.038932752518377
1724850 1546331115.0 3655.0 512.0 1.0 90.0 4567.0 4567.0 4567.0 4567.0 352.22357200000005 19.413898 19.413898 19.413898 449.855408 24.795177 24.795177 24.795177 50.0 180.0 220.0 180.0 220.0 519.8222222222222 649.5288888888889 649.5288888888889 649.5288888888889 649.5288888888889 -24.952120383036934 -24.952120383036934 -24.952120383036934 -24.952120383036934 -260.0 -340.0 -260.0 -340.0 -27.718711568798682 -27.718694102544475 -27.718694102544475 -27.718694102544475 -24.952120383036945 -24.952120383036945 -24.952120383036945 -24.952120383036945 3705.0 4747.0 4787.0 4747.0 4787.0 -28.12415654520918 -29.20377867746289 -28.12415654520918 -29.20377867746289
1724859 1546332243.0 3635.0 2048.0 1.0 30.0 2897.0 3025.0 3247.0 3180.0 6387.830078 112.48061399999999 62.99609399999999 77.84144999999998 2064.395752 49.597137 40.574913 43.28158019999999 30.0 20.0 30.0 20.0 30.0 2067.911111111111 1648.0711111111111 1720.888888888889 1847.1822222222222 1809.0666666666666 20.30261348005502 16.781292984869324 10.674002751031637 12.5171939477304 33.333333333333336 0.0 33.333333333333336 0.0 67.68236276181047 55.90605773186836 35.59138285621326 44.39777239504146 20.30261348005502 16.78129298486932 10.674002751031635 12.5171939477304 3665.0 2917.0 3055.0 3267.0 3210.0 20.409276944065486 16.64392905866303 10.859481582537517 12.414733969986358
1724860 1546332340.0 2556.0 1024.0 0.0 10.0 2641.0 2641.0 2641.0 2641.0 510.0 16.0 16.0 16.0 680.0 21.333332000000002 21.333332000000002 21.333332000000002 40.0 160.0 240.0 160.0 230.0 727.04 751.2177777777778 751.2177777777778 751.2177777777778 751.2177777777778 -3.325508607198748 -3.325508607198748 -3.325508607198748 -3.325508607198748 -300.0 -500.0 -300.0 -475.0 -33.333333333333336 -33.333325000000016 -33.333325000000016 -33.333325000000016 -3.325508607198752 -3.325508607198752 -3.325508607198752 -3.325508607198752 2596.0 2801.0 2881.0 2801.0 2871.0 -7.896764252696456 -10.978428351309708 -7.896764252696456 -10.59322033898305
1724867 1546333224.0 4980.0 512.0 1.0 30.0 4764.0 4764.0 4764.0 4764.0 508.0 28.0 28.0 28.0 434.622192 23.955555 23.955555 23.955555 80.0 0.0 80.0 240.0 80.0 708.2666666666667 677.5466666666666 677.5466666666666 677.5466666666666 677.5466666666666 4.337349397590361 4.337349397590361 4.337349397590361 4.337349397590361 100.0 0.0 -200.0 0.0 14.44445039370079 14.444446428571426 14.444446428571426 14.444446428571426 4.337349397590366 4.337349397590366 4.337349397590366 4.337349397590366 5060.0 4764.0 4844.0 5004.0 4844.0 5.849802371541502 4.2687747035573125 1.1067193675889329 4.2687747035573125
