Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_wait rhvd_wait rd_wait bin_wait cmc_wait def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_wait_rhvd improv_wait_rd improv_wait_bin improv_wait_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc def_turn rhvd_turn rd_turn bin_turn cmc_turn improv_turn_rhvd improv_turn_rd improv_turn_bin improv_turn_cmc
164859 1514764835.0 11956.0 128.0 1.0 50.0 11956.0 11956.0 11956.0 11956.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 10.0 0.0 10.0 10.0 10.0 425.1022222222222 425.1022222222222 425.1022222222222 425.1022222222222 425.1022222222222 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11966.0 11956.0 11966.0 11966.0 11966.0 0.08357011532675915 0.0 0.0 0.0
164860 1514765541.0 12699.0 128.0 1.0 90.0 12699.0 12699.0 12699.0 12699.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 10.0 0.0 10.0 0.0 20.0 451.52 451.52 451.52 451.52 451.52 0.0 0.0 0.0 0.0 100.0 0.0 100.0 -100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12709.0 12699.0 12709.0 12699.0 12719.0 0.07868439688409788 0.0 0.07868439688409788 -0.07868439688409788
164861 1514765896.0 13085.0 128.0 1.0 70.0 13085.0 13085.0 13085.0 13085.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 150.0 270.0 150.0 90.0 150.0 465.24444444444447 465.24444444444447 465.24444444444447 465.24444444444447 465.24444444444447 0.0 0.0 0.0 0.0 -80.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13235.0 13355.0 13235.0 13175.0 13235.0 -0.9066868152625613 0.0 0.45334340763128067 0.0
164862 1514766054.0 2543.0 8.0 1.0 30.0 2543.0 2543.0 2543.0 2543.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 0.0 120.0 0.0 290.0 0.0 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2543.0 2663.0 2543.0 2833.0 2543.0 -4.71883602044829 0.0 -11.403853716083367 0.0
164863 1514766092.0 7276.0 8.0 1.0 90.0 7276.0 7276.0 7276.0 7276.0 9.0 6.0 6.0 5.999999999999999 9.0 6.0 6.0 5.999999999999999 250.0 80.0 260.0 250.0 190.0 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 0.0 0.0 0.0 0.0 68.0 -4.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7526.0 7356.0 7536.0 7526.0 7466.0 2.258836035078395 -0.13287270794578793 0.0 0.7972362476747276
164865 1514766982.0 11792.0 128.0 1.0 50.0 11060.0 10933.0 11245.0 11151.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 60.0 90.0 100.0 210.0 270.0 419.2711111111111 393.24444444444447 388.7288888888889 399.8222222222222 396.48 6.207598371777476 7.284599728629579 4.638738127544098 5.435888738127544 -50.0 -66.66666666666667 -250.0 -350.0 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.20759837177747 7.284599728629579 4.638738127544104 5.43588873812754 11852.0 11150.0 11033.0 11455.0 11421.0 5.923050961862977 6.910226122173473 3.349645629429632 3.636517043536956
164866 1514767727.0 3835.0 256.0 1.0 90.0 3415.0 3440.0 3586.0 3542.0 658.0 65.5 62.5 63.4 578.0 58.0 58.0 57.99999999999999 110.0 240.0 120.0 60.0 120.0 272.7111111111111 242.84444444444443 244.62222222222223 255.00444444444443 251.87555555555556 10.951760104302478 10.29986962190352 6.492829204693612 7.640156453715775 -118.18181818181819 -9.090909090909092 45.45454545454545 -9.090909090909092 12.158054711246201 11.450381679389313 7.2 8.517350157728716 10.95176010430248 10.299869621903515 6.492829204693616 7.640156453715771 3945.0 3655.0 3560.0 3646.0 3662.0 7.3510773130545 9.759188846641319 7.579214195183777 7.173637515842839
164867 1514767745.0 6629.0 256.0 1.0 90.0 4879.0 5099.0 5752.0 5556.0 818.0 78.0 68.0 71.0 578.0 58.0 58.0 57.99999999999999 3920.0 3630.0 3540.0 3620.0 3640.0 471.3955555555556 346.9511111111111 362.59555555555556 409.0311111111111 395.0933333333333 26.399155227032736 23.080404284205763 13.229748076632976 16.186453462060644 7.3979591836734695 9.693877551020408 7.653061224489796 7.142857142857143 29.339853300733495 25.641025641025642 14.705882352941176 18.309859154929587 26.399155227032736 23.080404284205766 13.229748076632982 16.18645346206065 10549.0 8509.0 8639.0 9372.0 9196.0 19.338325907668974 18.105981609631243 11.157455683003128 12.825860271115745
164868 1514767746.0 6442.0 256.0 1.0 70.0 5119.0 5286.0 5779.0 5631.0 818.0 78.0 68.0 71.0 578.0 58.0 58.0 57.99999999999999 10540.0 8500.0 8620.0 9370.0 9190.0 458.09777777777776 364.0177777777778 375.8933333333333 410.9511111111111 400.4266666666667 20.53710027941633 17.94473765911208 10.291834833902515 12.589257994411673 19.35483870967742 18.216318785578746 11.100569259962048 12.808349146110057 29.339853300733495 25.641025641025642 14.705882352941176 18.309859154929587 20.537100279416325 17.94473765911208 10.29183483390251 12.589257994411668 16982.0 13619.0 13906.0 15149.0 14821.0 19.80332116358497 18.11329643151572 10.793781651160051 12.725238487810623
164869 1514771103.0 3742.0 64.0 1.0 50.0 3163.0 3085.0 3292.0 3230.0 194.0 46.25 39.5 41.525 134.0 30.0 30.0 30.0 40.0 170.0 40.0 40.0 50.0 66.52444444444444 56.23111111111111 54.84444444444444 58.52444444444444 57.422222222222224 15.47300908605024 17.557455905932656 12.02565473009086 13.682522715125602 -325.0 0.0 0.0 -25.0 30.927835051546392 35.13513513513514 24.050632911392405 27.75436484045755 15.473009086050237 17.557455905932656 12.025654730090862 13.682522715125595 3782.0 3333.0 3125.0 3332.0 3280.0 11.872025383395028 17.371760973030142 11.89846641988366 13.273400317292438
