Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_wait rhvd_wait rd_wait bin_wait cmc_wait def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_wait_rhvd improv_wait_rd improv_wait_bin improv_wait_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc def_turn rhvd_turn rd_turn bin_turn cmc_turn improv_turn_rhvd improv_turn_rd improv_turn_bin improv_turn_cmc
164859 1514764835.0 11956.0 128.0 1.0 50.0 11956.0 11956.0 11956.0 11956.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 10.0 10.0 10.0 0.0 0.0 425.1022222222222 425.1022222222222 425.1022222222222 425.1022222222222 425.1022222222222 0.0 0.0 0.0 0.0 0.0 0.0 100.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11966.0 11966.0 11966.0 11956.0 11956.0 0.0 0.0 0.08357011532675915 0.08357011532675915
164860 1514765541.0 12699.0 128.0 1.0 90.0 12699.0 12699.0 12699.0 12699.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 10.0 20.0 0.0 10.0 30.0 451.52 451.52 451.52 451.52 451.52 0.0 0.0 0.0 0.0 -100.0 100.0 0.0 -200.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12709.0 12719.0 12699.0 12709.0 12729.0 -0.07868439688409788 0.07868439688409788 0.0 -0.15736879376819576
164861 1514765896.0 13085.0 128.0 1.0 70.0 13085.0 13085.0 13085.0 13085.0 282.0 44.0 44.0 44.0 282.0 44.0 44.0 44.0 150.0 150.0 120.0 40.0 210.0 465.24444444444447 465.24444444444447 465.24444444444447 465.24444444444447 465.24444444444447 0.0 0.0 0.0 0.0 0.0 20.0 73.33333333333333 -40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13235.0 13235.0 13205.0 13125.0 13295.0 0.0 0.22667170381564034 0.831129580657348 -0.45334340763128067
164862 1514766054.0 2543.0 8.0 1.0 30.0 2543.0 2543.0 2543.0 2543.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 0.0 0.0 0.0 0.0 60.0 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2543.0 2543.0 2543.0 2543.0 2603.0 0.0 0.0 0.0 -2.359418010224145
164863 1514766092.0 7276.0 8.0 1.0 90.0 7276.0 7276.0 7276.0 7276.0 9.0 6.0 6.0 5.999999999999999 9.0 6.0 6.0 5.999999999999999 250.0 250.0 250.0 260.0 20.0 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 0.0 0.0 0.0 0.0 0.0 0.0 -4.0 92.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7526.0 7526.0 7526.0 7536.0 7296.0 0.0 0.0 -0.13287270794578793 3.0560722827531226
164865 1514766982.0 11792.0 128.0 1.0 50.0 11060.0 10933.0 11245.0 11151.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 60.0 270.0 230.0 160.0 30.0 419.2711111111111 393.24444444444447 388.7288888888889 399.8222222222222 396.48 6.207598371777476 7.284599728629579 4.638738127544098 5.435888738127544 -350.0 -283.3333333333333 -166.66666666666666 50.0 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.20759837177747 7.284599728629579 4.638738127544104 5.43588873812754 11852.0 11330.0 11163.0 11405.0 11181.0 4.404319946000675 5.813364832939588 3.771515356058049 5.661491731353358
164866 1514767727.0 3835.0 256.0 1.0 90.0 3415.0 3440.0 3586.0 3542.0 658.0 65.5 62.5 63.4 578.0 58.0 58.0 57.99999999999999 110.0 120.0 80.0 10.0 180.0 272.7111111111111 242.84444444444443 244.62222222222223 255.00444444444443 251.87555555555556 10.951760104302478 10.29986962190352 6.492829204693612 7.640156453715775 -9.090909090909092 27.272727272727273 90.9090909090909 -63.63636363636363 12.158054711246201 11.450381679389313 7.2 8.517350157728716 10.95176010430248 10.299869621903515 6.492829204693616 7.640156453715771 3945.0 3535.0 3520.0 3596.0 3722.0 10.392902408111533 10.773130544993663 8.846641318124208 5.652724968314322
164867 1514767745.0 6629.0 256.0 1.0 90.0 4879.0 5099.0 5752.0 5556.0 818.0 78.0 68.0 71.0 578.0 58.0 58.0 57.99999999999999 3920.0 3510.0 3500.0 3570.0 3700.0 471.3955555555556 346.9511111111111 362.59555555555556 409.0311111111111 395.0933333333333 26.399155227032736 23.080404284205763 13.229748076632976 16.186453462060644 10.459183673469388 10.714285714285714 8.928571428571429 5.612244897959184 29.339853300733495 25.641025641025642 14.705882352941176 18.309859154929587 26.399155227032736 23.080404284205766 13.229748076632982 16.18645346206065 10549.0 8389.0 8599.0 9322.0 9256.0 20.475874490473032 18.48516447056593 11.631434259171485 12.257085979713716
164868 1514767746.0 6442.0 256.0 1.0 70.0 5119.0 5286.0 5779.0 5631.0 818.0 78.0 68.0 71.0 578.0 58.0 58.0 57.99999999999999 10540.0 8380.0 8600.0 9320.0 9250.0 458.09777777777776 364.0177777777778 375.8933333333333 410.9511111111111 400.4266666666667 20.53710027941633 17.94473765911208 10.291834833902515 12.589257994411673 20.49335863377609 18.40607210626186 11.574952561669829 12.23908918406072 29.339853300733495 25.641025641025642 14.705882352941176 18.309859154929587 20.537100279416325 17.94473765911208 10.29183483390251 12.589257994411668 16982.0 13499.0 13886.0 15099.0 14881.0 20.509951713579085 18.231068189848074 11.088211046990931 12.371923212813567
164869 1514771103.0 3742.0 64.0 1.0 50.0 3163.0 3085.0 3292.0 3230.0 194.0 46.25 39.5 41.525 134.0 30.0 30.0 30.0 40.0 50.0 40.0 50.0 110.0 66.52444444444444 56.23111111111111 54.84444444444444 58.52444444444444 57.422222222222224 15.47300908605024 17.557455905932656 12.02565473009086 13.682522715125602 -25.0 0.0 -25.0 -175.0 30.927835051546392 35.13513513513514 24.050632911392405 27.75436484045755 15.473009086050237 17.557455905932656 12.025654730090862 13.682522715125595 3782.0 3213.0 3125.0 3342.0 3340.0 15.044949762030672 17.371760973030142 11.634056054997355 11.686938127974617
164870 1514771105.0 3743.0 64.0 1.0 90.0 3006.0 3162.0 3743.0 3569.0 171.5 36.25 30.0 31.875 134.0 30.0 30.0 30.0 30.0 40.0 30.0 40.0 100.0 66.54222222222222 53.44 56.21333333333333 66.54222222222222 63.44888888888889 19.690088164573872 15.522308308843174 0.0 4.6486775313919315 -33.333333333333336 0.0 -33.333333333333336 -233.33333333333334 21.865889212827987 17.24137931034483 0.0 5.882352941176471 19.690088164573876 15.522308308843177 0.0 4.648677531391932 3773.0 3046.0 3192.0 3783.0 3669.0 19.26848661542539 15.398886827458256 -0.26504108136761195 2.7564272462231645
164871 1514771108.0 3739.0 64.0 1.0 70.0 2930.0 3085.0 3085.0 3085.0 194.0 40.0 40.0 40.0 134.0 30.0 30.0 30.0 30.0 40.0 30.0 40.0 100.0 66.47111111111111 52.08888888888889 54.84444444444444 54.84444444444444 54.84444444444444 21.636801283765713 17.491307836319873 17.491307836319873 17.491307836319873 -33.333333333333336 0.0 -33.333333333333336 -233.33333333333334 30.927835051546392 25.0 25.0 25.0 21.636801283765717 17.49130783631988 17.49130783631988 17.49130783631988 3769.0 2970.0 3115.0 3125.0 3185.0 21.19925709737331 17.352082780578403 17.08676041390289 15.494826213849828
164872 1514771110.0 3739.0 64.0 0.0 10.0 3529.0 3554.0 3550.0 3551.0 145.75 23.75 24.25 24.099999999999998 64.0 12.0 12.0 11.999999999999998 2730.0 2740.0 2710.0 2740.0 2510.0 66.47111111111111 62.73777777777778 63.18222222222222 63.111111111111114 63.12888888888889 5.61647499331372 4.94784701791923 5.054827493982348 5.028082374966568 -0.3663003663003663 0.7326007326007326 -0.3663003663003663 8.058608058608058 56.089193825042884 49.473684210526315 50.51546391752577 50.207468879668056 5.616474993313721 4.9478470179192335 5.054827493982347 5.028082374966575 6469.0 6269.0 6264.0 6290.0 6061.0 3.0916679548616477 3.168959653733189 2.767042819601175 6.307002627917762
164873 1514771121.0 3739.0 64.0 1.0 30.0 3413.0 3326.0 3739.0 3615.0 189.0 47.5 30.0 35.25 134.0 30.0 30.0 30.0 3920.0 3030.0 3300.0 3330.0 3400.0 66.47111111111111 60.675555555555555 59.12888888888889 66.47111111111111 64.26666666666667 8.718908799144156 11.045734153516984 0.0 3.316394757956673 22.70408163265306 15.816326530612244 15.051020408163266 13.26530612244898 29.1005291005291 36.8421052631579 0.0 14.893617021276595 8.718908799144161 11.045734153516989 0.0 3.316394757956678 7659.0 6443.0 6626.0 7069.0 7015.0 15.87674631152892 13.487400443922184 7.703355529442486 8.408408408408409
164874 1514771161.0 3710.0 64.0 1.0 30.0 3710.0 3710.0 3710.0 3710.0 134.0 30.0 30.0 30.0 134.0 30.0 30.0 30.0 3880.0 2990.0 3260.0 3290.0 3360.0 65.95555555555555 65.95555555555555 65.95555555555555 65.95555555555555 65.95555555555555 0.0 0.0 0.0 0.0 22.938144329896907 15.97938144329897 15.206185567010309 13.402061855670103 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7590.0 6700.0 6970.0 7000.0 7070.0 11.725955204216074 8.168642951251647 7.7733860342556 6.851119894598155
164875 1514771179.0 3706.0 64.0 1.0 30.0 3706.0 3706.0 3706.0 3706.0 134.0 30.0 30.0 30.0 134.0 30.0 30.0 30.0 3860.0 3270.0 3240.0 3870.0 3640.0 65.88444444444444 65.88444444444444 65.88444444444444 65.88444444444444 65.88444444444444 0.0 0.0 0.0 0.0 15.284974093264248 16.06217616580311 -0.25906735751295334 5.699481865284974 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7566.0 6976.0 6946.0 7576.0 7346.0 7.798043880518107 8.194554586307163 -0.13217023526301877 2.907745175786413
164876 1514771182.0 3726.0 64.0 1.0 90.0 3726.0 3726.0 3726.0 3726.0 134.0 30.0 30.0 30.0 134.0 30.0 30.0 30.0 5660.0 5620.0 5610.0 5670.0 5740.0 66.24 66.24 66.24 66.24 66.24 0.0 0.0 0.0 0.0 0.7067137809187279 0.8833922261484098 -0.17667844522968199 -1.4134275618374559 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9386.0 9346.0 9336.0 9396.0 9466.0 0.42616663115278075 0.5327082889409759 -0.10654165778819519 -0.8523332623055615
164877 1514771185.0 3729.0 64.0 1.0 30.0 3729.0 3729.0 3729.0 3729.0 134.0 30.0 30.0 30.0 134.0 30.0 30.0 30.0 5650.0 5610.0 5600.0 5660.0 5730.0 66.29333333333334 66.29333333333334 66.29333333333334 66.29333333333334 66.29333333333334 0.0 0.0 0.0 0.0 0.7079646017699115 0.8849557522123894 -0.17699115044247787 -1.415929203539823 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9379.0 9339.0 9329.0 9389.0 9459.0 0.4264846998613925 0.5331058748267405 -0.10662117496534812 -0.852969399722785
164878 1514771199.0 3729.0 64.0 1.0 70.0 2922.0 3076.0 3076.0 3076.0 194.0 40.0 40.0 40.0 134.0 30.0 30.0 30.0 6540.0 6170.0 6170.0 6190.0 5970.0 66.29333333333334 51.946666666666665 54.684444444444445 54.684444444444445 54.684444444444445 21.64119066773934 17.511397157414855 17.511397157414855 17.511397157414855 5.657492354740061 5.657492354740061 5.351681957186544 8.715596330275229 30.927835051546392 25.0 25.0 25.0 21.641190667739348 17.51139715741486 17.51139715741486 17.51139715741486 10269.0 9092.0 9246.0 9266.0 9046.0 11.461680786834162 9.962021618463336 9.767260687506086 11.909630928035837
