Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
1 0.0 7560.0 512.0 1.0 90.0 7560.0 7560.0 7560.0 7682.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 19.317507 1075.2 1075.2 1075.2 1075.2 1092.5511111111111 0.0 0.0 0.0 -1.6137566137566137 0.0 0.0 0.0 -1.7901464433900738 0.0 0.0 0.0 -1.6137566137566122
2 7.0 7568.0 512.0 1.0 90.0 7568.0 7568.0 7568.0 7690.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 19.317507 1076.3377777777778 1076.3377777777778 1076.3377777777778 1076.3377777777778 1093.6888888888889 0.0 0.0 0.0 -1.6120507399577166 0.0 0.0 0.0 -1.7901464433900738 0.0 0.0 0.0 -1.6120507399577153
3 1590.0 7561.0 512.0 1.0 50.0 7561.0 7561.0 7561.0 7629.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 19.317507 1075.3422222222223 1075.3422222222223 1075.3422222222223 1075.3422222222223 1085.0133333333333 0.0 0.0 0.0 -0.8993519375743949 0.0 0.0 0.0 -1.7901464433900738 0.0 0.0 0.0 -0.8993519375743875
4 2205.0 14972.0 2048.0 1.0 30.0 13256.0 13555.0 14174.0 13988.0 2767.911133 54.533329 45.399998 48.13999729999999 1710.666748 37.333336 37.333336 37.333336 8517.404444444444 7541.191111111111 7711.288888888889 8063.431111111111 7957.6177777777775 11.461394603259418 9.464333422388458 5.32994923857868 6.572268234036869 38.19647142551523 31.540331968363784 17.767978756298614 22.448404458053407 11.461394603259416 9.464333422388455 5.32994923857868 6.572268234036871
5 2566.0 7571.0 512.0 1.0 90.0 10810.0 7571.0 10810.0 7693.0 344.311096 18.977777 18.977777 18.977777 508.0 18.977777 28.0 19.317507 1076.7644444444445 1537.4222222222222 1076.7644444444445 1537.4222222222222 1094.1155555555556 -42.78166688680491 0.0 -42.78166688680491 -1.611411966715097 -47.540990081829946 0.0 -47.54098965331925 -1.7901464433900738 -42.781666886804906 0.0 -42.781666886804906 -1.6114119667150955
6 2751.0 3653.0 64.0 0.0 10.0 3653.0 3653.0 3653.0 3653.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 64.94222222222223 64.94222222222223 64.94222222222223 64.94222222222223 64.94222222222223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 5485.0 6147.0 16384.0 1.0 30.0 5792.0 6043.0 5840.0 5932.0 26610.0 146.277771 89.733337 106.69666720000001 21490.0 138.0 74.776344 96.2402166 27975.68 26360.035555555554 27502.364444444444 26578.48888888889 26997.19111111111 5.775174882056287 1.6918822189686025 4.99430616560924 3.4976411257523994 19.240886884629838 5.658939798857067 16.66826789245563 9.800166091785865 5.775174882056294 1.691882218968607 4.994306165609241 3.4976411257524003
8 6553.0 2733.0 64.0 0.0 10.0 2733.0 2733.0 2733.0 2733.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 48.586666666666666 48.586666666666666 48.586666666666666 48.586666666666666 48.586666666666666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 10355.0 565.0 64.0 0.0 10.0 565.0 565.0 565.0 565.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 10.044444444444444 10.044444444444444 10.044444444444444 10.044444444444444 10.044444444444444 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 14158.0 911.0 64.0 0.0 10.0 911.0 911.0 911.0 911.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 16.195555555555554 16.195555555555554 16.195555555555554 16.195555555555554 16.195555555555554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
