Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
1 0.0 7560.0 512.0 1.0 90.0 7560.0 7560.0 7560.0 7560.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 18.977777 1075.2 1075.2 1075.2 1075.2 1075.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 7.0 7568.0 512.0 1.0 90.0 7568.0 7568.0 7568.0 7568.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 18.977777 1076.3377777777778 1076.3377777777778 1076.3377777777778 1076.3377777777778 1076.3377777777778 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 1590.0 7561.0 512.0 1.0 50.0 7561.0 7561.0 7561.0 7561.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 18.977777 1075.3422222222223 1075.3422222222223 1075.3422222222223 1075.3422222222223 1075.3422222222223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 2205.0 14972.0 2048.0 1.0 30.0 14524.0 15788.0 14649.0 14991.0 2767.911133 54.533329 45.399998 48.13999729999999 2492.0 64.444443 42.133331 48.8266646 8517.404444444444 8262.542222222222 8981.617777777778 8333.653333333334 8528.213333333333 2.992252204114347 -5.4501736574939885 2.1573604060913705 -0.12690355329949238 9.968207783497506 -18.17441586960518 7.195302079088194 -1.426396631725633 2.9922522041143447 -5.450173657493987 2.157360406091366 -0.12690355329949088
5 2566.0 7571.0 512.0 1.0 90.0 7571.0 7571.0 7571.0 7571.0 344.311096 18.977777 18.977777 18.977777 344.311096 18.977777 18.977777 18.977777 1076.7644444444445 1076.7644444444445 1076.7644444444445 1076.7644444444445 1076.7644444444445 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 2751.0 3653.0 64.0 0.0 10.0 3653.0 3653.0 3653.0 3653.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 64.94222222222223 64.94222222222223 64.94222222222223 64.94222222222223 64.94222222222223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 5485.0 6147.0 16384.0 1.0 30.0 5792.0 6043.0 6111.0 6091.0 26610.0 146.277771 89.733337 106.69666720000001 21490.0 138.0 88.0 103.0 27975.68 26360.035555555554 27502.364444444444 27811.84 27720.81777777778 5.775174882056287 1.6918822189686025 0.5856515373352855 0.9110135025215552 19.240886884629838 5.658939798857067 1.9316533386025818 3.4646510495690603 5.775174882056294 1.691882218968607 0.585651537335286 0.9110135025215546
8 6553.0 2733.0 64.0 0.0 10.0 2733.0 2733.0 2733.0 2733.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 48.586666666666666 48.586666666666666 48.586666666666666 48.586666666666666 48.586666666666666 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 10355.0 565.0 64.0 0.0 10.0 565.0 565.0 565.0 565.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 10.044444444444444 10.044444444444444 10.044444444444444 10.044444444444444 10.044444444444444 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 14158.0 911.0 64.0 0.0 10.0 911.0 911.0 911.0 911.0 30.0 8.0 8.0 8.0 30.0 8.0 8.0 8.0 16.195555555555554 16.195555555555554 16.195555555555554 16.195555555555554 16.195555555555554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
