Job_name Submit Runtime Nodes Comment Perc mod_rhvd mod_rd mod_bin mod_cmc def_cost_rhvd def_cost_rd def_cost_bin def_cost_cmc ja_cost_rhvd ja_cost_rd ja_cost_bin ja_cost_cmc def_nh rhvd_nh rd_nh bin_nh cmc_nh improv_rhvd improv_rd improv_bin improv_cmc improv_cost_rhvd improv_cost_rd improv_cost_bin improv_cost_cmc improv_nh_rhvd improv_nh_rd improv_nh_bin improv_nh_cmc
164859 1514764835.0 11956.0 128.0 1.0 50.0 11213.0 11085.0 11401.0 11307.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 425.1022222222222 398.68444444444447 394.1333333333333 405.3688888888889 402.02666666666664 6.214452994312479 7.285045165607227 4.642020742723319 5.4282368685178986 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.214452994312474 7.285045165607228 4.642020742723322 5.428236868517906
164860 1514765541.0 12699.0 128.0 1.0 90.0 11279.0 11035.0 11639.0 11457.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 451.52 401.0311111111111 392.35555555555555 413.8311111111111 407.36 11.18198283329396 13.103393968028978 8.347113945979999 9.780297661233169 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 11.181982833293958 13.103393968028975 8.347113945979995 9.78029766123316
164861 1514765896.0 13085.0 128.0 1.0 70.0 11947.0 11751.0 12235.0 12090.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 465.24444444444447 424.78222222222223 417.81333333333333 435.02222222222224 429.8666666666667 8.696981276270538 10.19487963316775 6.495987772258311 7.604126862820023 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 8.696981276270542 10.194879633167753 6.495987772258312 7.604126862820025
164862 1514766054.0 2543.0 8.0 1.0 30.0 2543.0 2543.0 2543.0 2543.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 5.651111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164863 1514766092.0 7276.0 8.0 1.0 90.0 7276.0 7276.0 7276.0 7276.0 7.5 5.0 5.0 5.0 7.5 5.0 5.0 5.0 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 16.16888888888889 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
164865 1514766982.0 11792.0 128.0 1.0 50.0 11060.0 10933.0 11245.0 11151.0 322.0 51.5 48.5 49.39999999999999 282.0 44.0 44.0 44.0 419.2711111111111 393.24444444444447 388.7288888888889 399.8222222222222 396.48 6.207598371777476 7.284599728629579 4.638738127544098 5.435888738127544 12.422360248447205 14.563106796116505 9.278350515463918 10.93117408906881 6.20759837177747 7.284599728629579 4.638738127544104 5.43588873812754
164866 1514767727.0 3835.0 256.0 1.0 90.0 3415.0 3440.0 3586.0 3542.0 658.0 65.5 62.5 63.4 578.0 58.0 58.0 57.99999999999999 272.7111111111111 242.84444444444443 244.62222222222223 255.00444444444443 251.87555555555556 10.951760104302478 10.29986962190352 6.492829204693612 7.640156453715775 12.158054711246201 11.450381679389313 7.2 8.517350157728716 10.95176010430248 10.299869621903515 6.492829204693616 7.640156453715771
164867 1514767745.0 6629.0 256.0 1.0 90.0 5904.0 5946.0 6199.0 6123.0 658.0 65.5 62.5 63.4 578.0 58.0 58.0 57.99999999999999 471.3955555555556 419.84 422.82666666666665 440.8177777777778 435.41333333333336 10.936792879770705 10.303213154321918 6.486649570070901 7.633127168502036 12.158054711246201 11.450381679389313 7.2 8.517350157728716 10.936792879770714 10.303213154321925 6.4866495700709015 7.633127168502035
164868 1514767746.0 6442.0 256.0 1.0 70.0 5894.0 5926.0 6117.0 6060.0 658.0 65.5 62.5 63.4 578.0 58.0 58.0 57.99999999999999 458.09777777777776 419.12888888888887 421.40444444444444 434.9866666666667 430.93333333333334 8.506674945669047 8.009934802856256 5.045017075442409 5.9298354548276935 12.158054711246201 11.450381679389313 7.2 8.517350157728716 8.50667494566905 8.009934802856256 5.045017075442404 5.929835454827689
164869 1514771103.0 3742.0 64.0 1.0 50.0 3582.0 3475.0 3625.0 3580.0 146.5 35.0 32.0 32.9 134.0 30.0 30.0 30.0 66.52444444444444 63.68 61.77777777777778 64.44444444444444 63.644444444444446 4.27578834847675 7.135221806520577 3.1266702298236235 4.32923570283271 8.532423208191126 14.285714285714286 6.25 8.814589665653493 4.275788348476746 7.135221806520572 3.1266702298236213 4.329235702832703
